RDO:;NO. 15 ILAGAN, ISABELA;;;;
BARANGAY:;SAN JOSE SUR;;;;
ALL LOTS;INTERIOR BARANGAY;RR;40.00;;
ALL LOTS;INTERIOR BARANGAY;A1;12.00;;
ALL LOTS;INTERIOR BARANGAY;A2;6.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;SAN PEDRO;;;;
ALL LOTS;PROVINCIAL ROAD;RR;70.00;;
ALL LOTS;PROVINCIAL ROAD;A1;12.00;;
ALL LOTS;PROVINCIAL ROAD;A2;7.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;SAN RAMON;;;;
ALL LOTS;INTERIOR BARANGAY;RR;40.00;;
ALL LOTS;INTERIOR BARANGAY;A2;6.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAYS:;SIEMPRE VIVA I, SIEMPRE VIVA II;;;;
ALL LOTS;INTERIOR BARANGAY;RR;40.00;;
ALL LOTS;INTERIOR BARANGAY;A1;10.00;;
ALL LOTS;INTERIOR BARANGAY;A2;5.00;;
CITY/MUNICIPALITY:;MALILIG;;;;
BARANGAY:;VICTORIA;;;;
ALL LOTS;PROVINCIAL ROAD;RR;80.00;;
ALL LOTS;PROVINCIAL ROAD;A1;15.00;;
ALL LOTS;PROVINCIAL ROAD;A2;4.00;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAYS:;AGUINALDO, BAGONG SICAT, LA UNION,MANARING, MINANGA, QUIMALABASA, RANGAYAN, RIZAL, SANTO TOMAS, SUNLIFE, TOMINES, V. CAPUCHINO;;;;
ALL LOTS;BARANGAY ROAD;RR;75.00;;
ALL LOTS;BARANGAY ROAD;A1;7.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;MAGSAYSAY;;;;
ALL LOTS;PROVINCIAL ROAD;X;100.00;;
ALL LOTS;PROVINCIAL ROAD;RR;110.00;;
ALL LOTS;PROVINCIAL ROAD;A1;7.00;;
ALL LOTS;PROVINCIAL ROAD;A2;5.00;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;MANSIBANG;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;7.50;;
ALL LOTS;BARANGAY ROAD;A2;5.50;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;MINALLO;;;;
ALL LOTS;BARANGAY ROAD;RR;75.00;;
ALL LOTS;BARANGAY ROAD;A1;7.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;PALATTAO;;;;
ALL LOTS;BARANGAY ROAD;RR;175.00;;
ALL LOTS;BARANGAY ROAD;A1;7.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;POBLACION;;;;
ALL LOTS;PROVINCIAL ROAD;CR;200.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;140.00;;
ALL LOTS;BARANGAY ROAD;A1;7.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;QUEZON;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;7.50;;
ALL LOTS;BARANGAY ROAD;A2;5.50;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;QUIRINO;;;;
ALL LOTS;BARANGAY ROAD;RR;75.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;ROXAS;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.50;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;SAN MANUEL;;;;
ALL LOTS;NATIONAL ROAD;CR;200.00;;
ALL LOTS;NATIONAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.50;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;SURCOC;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;NAGUILIAN;;;;
BARANGAY:;VILLA PAZ;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;7.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;PALANAN;;;;
BARANGAY:;ALL BARANGAYS;;;;
ALL LOTS;POBLACION;CR;80.00;;
ALL LOTS;POBLACION;RR;50.00;;
ALL LOTS;POBLACION;I;80.00;;
ALL LOTS;INTERIOR LOTS;RR;30.00;;
ALL LOTS;INTERIOR LOTS;A1;4.00;;
ALL LOTS;INTERIOR LOTS;A2;3.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;ABUT;;;;
ABUT;;CR;130.00;;
ABUT;;RR;50.00;;
ABUT;;I;130.00;;
ABUT;;A1;8.00;;
ABUT;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;ALUNAN;;;;
ALL LOTS;;RR;80.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;AURORA;;;;
ALL LOTS;;RR;40.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;ARELLANO;;;;
ALL LOTS;;RR;80.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;BARUCBOC;;;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;130.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;CALLANGUIGAN;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;DUMMON;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;ESTRADA;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;LEPANTO;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;MANGGA;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;MINAGBAG;;;;
ALL LOTS;;CR;130.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;SAMONTE;;;;
ALL LOTS;;RR;70.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;SAN JUAN;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;SANTOS;;;;
ALL LOTS;;RR;70.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUEZON;;;;
BARANGAY:;TUROD;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;BINARZANG;;;;
ALL LOTS;;CR;60.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;60.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;CABARUAN;;;;
ALL LOTS;;CR;60.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;60.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;CAMAAL;;;;
ALL LOTS;;CR;100.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;60.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;DOLORES;;;;
ALL LOTS;;CR;60.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;60.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;LUNA;;;;
ALL LOTS;;CR;75.00;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;I;75.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;MANAOAG;;;;
ALL LOTS;;CR;60.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;60.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;6.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;POBLACION;;;;
ALL LOTS;;CR;150.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;I;150.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;RIZAL;;;;
ALL LOTS;;CR;60.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;60.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SAN ISIDRO;;;;
ALL LOTS;;CR;75.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;75.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SAN JOSE;;;;
SAN JOSE;;CR;75.00;;
SAN JOSE;;RR;50.00;;
SAN JOSE;;I;75.00;;
SAN JOSE;;A1;8.00;;
SAN JOSE;;A2;4.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SAN MATEO;;;;
ALL LOTS;;CR;100.00;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;I;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SANTIAGO;;;;
ALL LOTS;;CR;80.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;80.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SAN VICENTE;;;;
ALL LOTS;;CR;75.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;75.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SANTA CATALINA;;;;
ALL LOTS;;CR;75.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;75.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SANTA LUCIA;;;;
ALL LOTS;;CR;80.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;80.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;4.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SANTO DOMINGO;;;;
ALL LOTS;;CR;100.00;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;I;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SUERTE;;;;
ALL LOTS;;CR;70.00;;
ALL LOTS;;RR;40.00;;
ALL LOTS;;I;50.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;6.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;SINAIT;;;;
ALL LOTS;;CR;70.00;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;I;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;VILLA BULUSAN;;;;
ALL LOTS;;CR;100.00;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;I;100.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;VILLA MIGUEL;;;;
ALL LOTS;;CR;90.00;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;I;90.00;;
ALL LOTS;;A1;8.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;QUIRINO;;;;
BARANGAY:;VINTAR;;;;
ALL LOTS;;CR;100.00;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;I;100.00;;
ALL LOTS;;A1;9.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;AMBATALI;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;BANTUG;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
;;A1;12.00;;
;;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;BUGALLON NORTE;;;;
ALL LOTS;NATIONAL ROAD;CR;350.00;;
ALL LOTS;NATIONAL ROAD;X;175.00;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;BURGOS;;;;
ALL LOTS;NATIONAL ROAD;CR;350.00;;
ALL LOTS;NATIONAL ROAD;X;175.00;;
ALL LOTS;BARANGAY ROAD;RR;175.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;GEN AGUINALDO;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;NAGBACALAN;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;OSCARIZ;;;;
ALL LOTS;NATIONAL ROAD;CR;350.00;;
ALL LOTS;NATIONAL ROAD;X;125.00;;
ALL LOTS;BARANGAY ROAD;RR;190.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;PABIL;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;PARANG-AYAN;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;PLANAS;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;POBLACION;;;;
ALL LOTS;NATIONAL ROAD;CR;375.00;;
ALL LOTS;NATIONAL ROAD;X;125.00;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;PUROK NI BULAN;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;RANIAG;;;;
ALL LOTS;NATIONAL ROAD;CR;375.00;;
ALL LOTS;NATIONAL ROAD;X;37.50;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;SAN MIGUEL;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;SAN SEBASTIAN;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;VILLA BELTRAN;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;VILLA CARMEN;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;RAMON;;;;
BARANGAY:;VILLA MARCOS;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;BANQUERO;;;;
ALL LOTS;RIVERSIDE;CR;65.00;;
ALL LOTS;RIVERSIDE;RR;30.00;;
ALL LOTS;RIVERSIDE;I;45.00;;
ALL LOTS;RIVERSIDE;A1;7.00;;
ALL LOTS;RIVERSIDE;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;BINARSANG;;;;
ALL LOTS;RIVERSIDE;CR;65.00;;
ALL LOTS;RIVERSIDE;RR;40.00;;
ALL LOTS;RIVERSIDE;I;45.00;;
ALL LOTS;RIVERSIDE;A1;7.00;;
ALL LOTS;RIVERSIDE;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;CUTOG GRANDE;;;;
ALL LOTS;INTERIOR LOTS;CR;65.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;I;45.00;;
ALL LOTS;INTERIOR LOTS;A1;7.00;;
ALL LOTS;INTERIOR LOTS;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;CUTOG PEQUENO;;;;
ALL LOTS;INTERIOR LOTS;CR;60.00;;
ALL LOTS;INTERIOR LOTS;RR;40.00;;
ALL LOTS;INTERIOR LOTS;I;45.00;;
ALL LOTS;INTERIOR LOTS;A1;7.00;;
ALL LOTS;INTERIOR LOTS;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;DANGAN;;;;
ALL LOTS;INTERIOR LOTS;CR;75.00;;
ALL LOTS;INTERIOR LOTS;RR;40.00;;
ALL LOTS;INTERIOR LOTS;I;45.00;;
ALL LOTS;INTERIOR LOTS;A1;7.00;;
ALL LOTS;INTERIOR LOTS;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;DISTRICT 1;;;;
ALL LOTS;POBLACION;CR;125.00;;
ALL LOTS;POBLACION;RR;65.00;;
ALL LOTS;POBLACION;I;60.00;;
ALL LOTS;POBLACION;A1;7.00;;
ALL LOTS;POBLACION;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;DISTRICT 2;;;;
ALL LOTS;POBLACION;CR;125.00;;
ALL LOTS;POBLACION;RR;65.00;;
ALL LOTS;POBLACION;I;60.00;;
ALL LOTS;POBLACION;A1;7.00;;
ALL LOTS;POBLACION;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;LABINAB PEQUENO;;;;
ALL LOTS;POBLACION;CR;150.00;;
ALL LOTS;POBLACION;RR;55.00;;
ALL LOTS;POBLACION;I;55.00;;
ALL LOTS;POBLACION;A1;7.00;;
ALL LOTS;POBLACION;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;LABINAB GRANDE;;;;
ALL LOTS;;CR;175.00;;
ALL LOTS;;RR;65.00;;
ALL LOTS;;I;60.00;;
ALL LOTS;;A1;7.00;;
ALL LOTS;;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;MALLATANG GRANDE;;;;
ALL LOTS;INTERIOR LOTS;CR;60.00;;
ALL LOTS;INTERIOR LOTS;RR;35.00;;
ALL LOTS;INTERIOR LOTS;I;45.00;;
ALL LOTS;INTERIOR LOTS;A1;7.00;;
ALL LOTS;INTERIOR LOTS;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;NAPPACCU GRANDE;;;;
ALL LOTS;;CR;100.00;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;I;50.00;;
ALL LOTS;;A1;7.00;;
ALL LOTS;;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;NAPPACCU PEQUENO;;;;
ALL LOTS;ADJACENT TO NATIONAL RD;CR;125.00;;
ALL LOTS;ADJACENT TO NATIONAL RD;RR;55.00;;
ALL LOTS;ADJACENT TO NATIONAL RD;I;45.00;;
ALL LOTS;ADJACENT TO NATIONAL RD;A1;7.00;;
ALL LOTS;ADJACENT TO NATIONAL RD;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;SALLUCONG;;;;
ALL LOTS;RIVERSIDE;CR;60.00;;
ALL LOTS;RIVERSIDE;RR;40.00;;
ALL LOTS;RIVERSIDE;I;45.00;;
ALL LOTS;RIVERSIDE;A1;7.00;;
ALL LOTS;RIVERSIDE;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;SANTIAGO;;;;
ALL LOTS;RIVERSIDE;CR;75.00;;
ALL LOTS;RIVERSIDE;RR;40.00;;
ALL LOTS;RIVERSIDE;I;45.00;;
ALL LOTS;RIVERSIDE;A1;7.00;;
ALL LOTS;RIVERSIDE;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;SANTOR;;;;
ALL LOTS;;CR;75.00;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;I;45.00;;
ALL LOTS;;A1;7.00;;
ALL LOTS;;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;SINIPIL;;;;
ALL LOTS;ALONG NATIONAL RD;CR;175.00;;
ALL LOTS;ALONG NATIONAL RD;RR;60.00;;
ALL LOTS;ALONG NATIONAL RD;I;55.00;;
ALL LOTS;ALONG NATIONAL RD;A1;7.00;;
ALL LOTS;ALONG NATIONAL RD;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;TALLUNGAN;;;;
ALL LOTS;POBLACION;CR;175.00;;
ALL LOTS;POBLACION;RR;55.00;;
ALL LOTS;POBLACION;I;55.00;;
ALL LOTS;POBLACION;A1;7.00;;
ALL LOTS;POBLACION;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;TUROD;;;;
ALL LOTS;INTERIOR LOT;CR;80.00;;
ALL LOTS;INTERIOR LOT;RR;55.00;;
ALL LOTS;INTERIOR LOT;I;45.00;;
ALL LOTS;INTERIOR LOT;A1;7.00;;
ALL LOTS;INTERIOR LOT;A2;4.50;;
CITY/MUNICIPALITY:;REINA MERCEDES;;;;
BARANGAY:;VILLADOR;;;;
ALL LOTS;INTERIOR LOT;CR;55.00;;
ALL LOTS;INTERIOR LOT;RR;55.00;;
ALL LOTS;INTERIOR LOT;I;45.00;;
ALL LOTS;INTERIOR LOT;A1;7.00;;
ALL LOTS;INTERIOR LOT;A2;4.50;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;ANAO;;;;
ALL LOTS;;CR;170.00;;
ALL LOTS;;RR;85.00;;
ALL LOTS;;I;155.00;;
ALL LOTS;INTERIOR LOT;RR;65.00;;
ALL LOTS;INTERIOR LOT;A1;10.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;BANTUG;;;;
ALL LOTS;;CR;450.00;;
ALL LOTS;;RR;200.00;;
ALL LOTS;;I;350.00;;
ALL LOTS;INTERIOR LOT;RR;140.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;DONA CONCHA;;;;
ALL LOTS;;CR;250.00;;
ALL LOTS;;RR;85.00;;
ALL LOTS;;I;150.00;;
ALL LOTS;INTERIOR LOT;RR;60.00;;
ALL LOTS;INTERIOR LOT;A1;10.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;IMBIAO;;;;
ALL LOTS;;CR;250.00;;
ALL LOTS;;RR;70.00;;
ALL LOTS;;I;150.00;;
ALL LOTS;INTERIOR LOT;RR;50.00;;
ALL LOTS;INTERIOR LOT;A1;10.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;LANTING;;;;
ALL LOTS;;CR;400.00;;
ALL LOTS;;RR;175.00;;
ALL LOTS;;I;200.00;;
ALL LOTS;INTERIOR LOT;RR;70.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;LUCBAN;;;;
ALL LOTS;;CR;200.00;;
